PROV13;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;x
PROV35;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;Arroyo del Arce;x
PROV64;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;x
PROV162;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;Taychopera;x
PROV269;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;x
PROV317;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;Gefle;x
PROV329;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;x
PROV336;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;x
PROV337;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;x
PROV339;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV349;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;Lindanäs;x
PROV356;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;Dynaburg;x
PROV393;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;x
PROV451;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;Lione;x
PROV454;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;Grazianopoli;x
PROV467;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;x
PROV474;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;x
PROV493;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;Iruña;x
PROV517;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;Gibilterra;x
PROV552;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV577;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;x
PROV627;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;x
PROV633;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;Požun;x
PROV640;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;Cinquechiese;x
PROV647;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;Gran Varadino;x
PROV683;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;x
PROV684;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;x
PROV687;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;x
PROV690;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;x
PROV695;Královec;Královec;Královec;Královec;Královec;Královec;Královec;Královec;Královec;Královec;Královec;Královec;Královec;x
PROV699;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;x
PROV719;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;Belostok;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV767;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;Morpurgo;x
PROV768;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;x
PROV780;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;x
PROV781;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;x
PROV782;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;x
PROV800;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;Dulcigno;x
PROV828;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;Adrianopoli;x
PROV850;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;Scutari;x
PROV851;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;Durazzo;x
PROV852;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;Valona;x
PROV853;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;Argirocastro;x
PROV860;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;Costantinopoli;x
PROV1003;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;Holmgard;x
PROV1036;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;x
PROV1044;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;x
PROV2582;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;Cattaro;x
PROV2583;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;Cettigne;x
